Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1000408,Retail space,1/1/15,8,"$384,040.38 ",4.46%,"$548,629.12 ","$29,516.25 ",1.72,120,65,7%,2008,0
Commercial Real Estate,ABC1000409,Multifamily residential,1/1/13,11,"$2,711,029.01 ",4.47%,"$3,388,786.27 ","$130,807.15 ",1.08,120,72,33%,2001,0
Commercial Real Estate,ABC1000410,Retail space,1/1/13,6,"$717,783.75 ",5.56%,"$1,259,269.74 ","$79,963.63 ",2,120,101,13%,2008,0
Commercial Real Estate,ABC1000411,Multifamily residential,1/1/19,7,"$2,300,036.44 ",5.03%,"$3,382,406.52 ","$244,209.75 ",2.11,60,28,32%,1996,0
Commercial Real Estate,ABC1000412,Retail space,1/1/16,8,"$7,043,579.45 ",4.77%,"$10,512,805.15 ","$489,896.72 ",1.46,120,39,14%,1995,0
Commercial Real Estate,ABC1000413,Retail space,1/1/12,7,"$18,669,125.00 ",5.80%,"$31,642,584.74 ","$1,974,497.29 ",1.82,60,54,38%,2003,0
Commercial Real Estate,ABC1000414,Multifamily residential,1/1/19,10,"$2,265,251.58 ",4.56%,"$3,331,252.33 ","$75,286.30 ",0.73,60,35,7%,2007,0
Commercial Real Estate,ABC1000415,Multifamily residential,1/1/12,10,"$6,766,887.62 ",5.46%,"$9,144,442.73 ","$343,831.05 ",0.93,120,116,12%,2007,0
Commercial Real Estate,ABC1000416,Multifamily residential,1/1/17,5,"$3,375,267.62 ",5.31%,"$6,750,535.25 ","$359,803.53 ",2.01,120,24,11%,2000,0
Commercial Real Estate,ABC1000417,Multifamily residential,1/1/16,9,"$1,943,887.55 ",4.18%,"$2,945,284.17 ","$59,494.74 ",0.73,120,32,33%,1995,0
Commercial Real Estate,ABC1000418,Office building,1/1/17,6,"$2,247,965.24 ",4.57%,"$3,257,920.63 ","$321,882.56 ",3.13,120,109,38%,1998,0
Commercial Real Estate,ABC1000419,Retail space,1/1/17,8,"$3,139,118.30 ",5.33%,"$4,549,446.81 ","$288,434.93 ",1.72,60,9,38%,1997,0
Commercial Real Estate,ABC1000420,Retail space,1/1/13,8,"$1,309,235.66 ",4.92%,"$2,014,208.71 ","$111,788.58 ",1.74,120,78,14%,2006,0
Commercial Real Estate,ABC1000421,Retail space,1/1/12,8,"$14,705,649.34 ",4.69%,"$22,281,286.87 ","$938,042.18 ",1.36,120,59,2%,2008,0
Commercial Real Estate,ABC1000422,Retail space,1/1/12,8,"$1,537,991.47 ",5.31%,"$2,078,366.85 ","$193,911.63 ",2.37,120,15,38%,1995,0
Commercial Real Estate,ABC1000423,Retail space,1/1/15,7,"$984,177.45 ",5.49%,"$1,426,344.14 ","$124,947.75 ",2.31,60,22,4%,1999,0
Commercial Real Estate,ABC1000424,Multifamily residential,1/1/17,6,"$11,101,729.14 ",5.88%,"$17,079,583.29 ","$1,593,525.12 ",2.44,120,19,26%,1997,0
Commercial Real Estate,ABC1000425,Multifamily residential,1/1/15,8,"$666,016.54 ",4.72%,"$1,009,115.97 ","$52,574.94 ",1.67,60,28,14%,2007,0
Commercial Real Estate,ABC1000426,Multifamily residential,1/1/18,7,"$3,061,007.77 ",5.98%,"$5,370,189.08 ","$263,676.28 ",1.44,60,45,7%,2002,0
Commercial Real Estate,ABC1000427,Multifamily residential,1/1/17,5,"$11,725,857.41 ",4.76%,"$21,319,740.74 ","$1,483,853.96 ",2.66,120,74,7%,2002,0
Commercial Real Estate,ABC1000428,Retail space,1/1/17,8,"$864,420.20 ",5.29%,"$1,290,179.40 ","$85,925.95 ",1.88,60,31,3%,1998,0
Commercial Real Estate,ABC1000429,Office building,1/1/14,9,"$1,751,982.92 ",4.72%,"$2,576,445.47 ","$85,022.70 ",1.03,60,22,15%,2008,0
Commercial Real Estate,ABC1000430,Office building,1/1/17,8,"$5,055,789.07 ",4.41%,"$7,222,555.82 ","$459,354.55 ",2.06,60,16,1%,2002,0
Commercial Real Estate,ABC1000431,Office building,1/1/14,4,"$33,505,948.59 ",5.78%,"$68,379,486.93 ","$4,848,105.62 ",2.5,120,53,39%,1995,0
Commercial Real Estate,ABC1000432,Multifamily residential,1/1/15,11,"$781,679.06 ",5.35%,"$1,002,152.63 ","$43,994.50 ",1.05,60,48,8%,1995,0
Commercial Real Estate,ABC1000433,Office building,1/1/12,5,"$2,173,768.44 ",5.71%,"$3,813,628.84 ","$317,675.28 ",2.56,120,65,31%,2003,0
Commercial Real Estate,ABC1000434,Office building,1/1/17,8,"$3,129,903.41 ",5.78%,"$5,130,989.20 ","$225,763.52 ",1.25,180,59,40%,2002,0
Commercial Real Estate,ABC1000435,Multifamily residential,1/1/15,6,"$5,971,185.98 ",5.70%,"$10,856,701.78 ","$698,085.92 ",2.05,60,56,14%,1996,0
Commercial Real Estate,ABC1000436,Multifamily residential,1/1/19,7,"$788,673.86 ",4.68%,"$1,159,814.50 ","$81,418.98 ",2.21,60,58,5%,1997,0
Commercial Real Estate,ABC1000437,Multifamily residential,1/1/14,12,"$27,170,264.09 ",4.59%,"$34,392,739.36 ","$450,544.89 ",0.36,60,42,7%,1999,0
Commercial Real Estate,ABC1000438,Retail space,1/1/12,7,"$2,324,655.24 ",4.89%,"$3,689,928.95 ","$237,631.42 ",2.09,60,39,7%,2000,0
Commercial Real Estate,ABC1000439,Multifamily residential,1/1/15,7,"$5,195,519.65 ",4.79%,"$7,871,999.46 ","$590,399.96 ",2.37,120,87,7%,2004,0
Commercial Real Estate,ABC1000440,Multifamily residential,1/1/18,8,"$3,421,510.47 ",5.88%,"$5,518,565.27 ","$226,813.03 ",1.13,60,28,7%,2005,0
Commercial Real Estate,ABC1000441,Office building,1/1/12,10,"$1,740,650.44 ",5.97%,"$2,384,452.66 ","$109,923.27 ",1.06,60,59,38%,2009,0
Commercial Real Estate,ABC1000442,Retail space,1/1/12,9,"$13,196,137.18 ",5.09%,"$17,594,849.57 ","$1,397,031.06 ",2.08,60,21,7%,1998,1
Commercial Real Estate,ABC1000443,Multifamily residential,1/1/13,7,"$5,747,016.07 ",4.70%,"$9,578,360.12 ","$509,568.76 ",1.89,60,38,8%,2007,1
Commercial Real Estate,ABC1000444,Office building,1/1/19,8,"$3,589,325.87 ",5.34%,"$5,438,372.53 ","$269,743.28 ",1.41,180,140,2%,1996,1
Commercial Real Estate,ABC1000445,Office building,1/1/15,6,"$10,604,962.89 ",4.40%,"$15,149,946.99 ","$1,439,244.96 ",3.08,180,24,27%,2004,0
Commercial Real Estate,ABC1000446,Retail space,1/1/16,7,"$3,135,258.96 ",4.87%,"$4,679,490.98 ","$342,538.74 ",2.24,120,114,13%,2008,0
Commercial Real Estate,ABC1000447,Multifamily residential,1/1/18,8,"$3,294,803.20 ",5.80%,"$4,640,567.88 ","$340,153.63 ",1.78,120,69,11%,2002,0
Commercial Real Estate,ABC1000448,Office building,1/1/18,9,"$5,591,146.41 ",5.51%,"$9,165,813.79 ","$274,057.83 ",0.89,60,54,5%,2008,0
Commercial Real Estate,ABC1000449,Retail space,1/1/15,5,"$11,797,078.41 ",5.12%,"$20,339,790.36 ","$1,631,251.19 ",2.7,60,27,11%,2008,0
Commercial Real Estate,ABC1000450,Multifamily residential,1/1/14,7,"$1,332,617.34 ",5.89%,"$2,337,925.16 ","$97,023.89 ",1.24,180,89,15%,1998,0
Commercial Real Estate,ABC1000451,Retail space,1/1/14,8,"$1,912,922.77 ",5.56%,"$2,694,257.42 ","$191,831.13 ",1.8,120,43,13%,2004,0
Commercial Real Estate,ABC1000452,Office building,1/1/13,9,"$3,997,631.17 ",5.52%,"$5,402,204.28 ","$377,614.08 ",1.71,60,14,10%,2007,0
Commercial Real Estate,ABC1000453,Office building,1/1/13,10,"$428,905.82 ",5.50%,"$579,602.46 ","$28,110.72 ",1.19,60,19,9%,2009,0
Commercial Real Estate,ABC1000454,Multifamily residential,1/1/15,10,"$1,369,382.60 ",4.36%,"$1,825,843.47 ","$87,823.07 ",1.47,120,20,7%,2007,0
Commercial Real Estate,ABC1000455,Multifamily residential,1/1/13,5,"$12,118,789.33 ",4.44%,"$19,546,434.40 ","$1,604,762.26 ",2.98,120,20,15%,1999,0
Commercial Real Estate,ABC1000456,Retail space,1/1/17,4,"$3,060,060.84 ",4.48%,"$6,000,119.28 ","$509,410.13 ",3.72,60,46,1%,2007,0
Commercial Real Estate,ABC1000457,Office building,1/1/18,7,"$1,916,882.72 ",4.49%,"$3,248,953.76 ","$148,477.19 ",1.73,60,34,11%,2003,0
Commercial Real Estate,ABC1000458,Multifamily residential,1/1/14,7,"$14,078,818.58 ",4.55%,"$20,112,597.98 ","$1,474,253.43 ",2.3,60,21,3%,2009,0
Commercial Real Estate,ABC1000459,Retail space,1/1/15,8,"$2,391,269.84 ",5.23%,"$3,678,876.68 ","$161,502.69 ",1.29,120,67,2%,2005,0
Commercial Real Estate,ABC1000460,Office building,1/1/18,9,"$1,236,052.75 ",4.69%,"$1,670,341.56 ","$102,893.04 ",1.77,60,27,35%,2004,1
Commercial Real Estate,ABC1000461,Office building,1/1/11,7,"$4,525,782.37 ",4.96%,"$6,857,246.02 ","$492,350.26 ",2.19,120,81,7%,2003,1
Commercial Real Estate,ABC1000462,Retail space,1/1/15,11,"$1,174,000.70 ",4.39%,"$1,586,487.43 ","$29,825.96 ",0.58,180,82,40%,2001,0
Commercial Real Estate,ABC1000463,Multifamily residential,1/1/12,6,"$1,619,466.03 ",4.65%,"$2,999,011.16 ","$150,550.36 ",2,60,28,38%,1995,0
Commercial Real Estate,ABC1000464,Retail space,1/1/14,8,"$12,589,207.32 ",5.65%,"$16,564,746.48 ","$1,611,749.83 ",2.27,120,18,13%,2005,0
Commercial Real Estate,ABC1000465,Multifamily residential,1/1/18,8,"$1,251,935.31 ",5.61%,"$1,841,081.34 ","$130,716.78 ",1.86,60,5,5%,2003,0
Commercial Real Estate,ABC1000466,Retail space,1/1/17,6,"$6,582,735.51 ",4.68%,"$11,157,178.82 ","$740,836.67 ",2.4,120,114,3%,2000,0
Commercial Real Estate,ABC1000467,Retail space,1/1/14,10,"$6,575,946.13 ",5.16%,"$8,219,932.66 ","$607,453.02 ",1.79,180,34,13%,1995,0
Commercial Real Estate,ABC1000468,Multifamily residential,1/1/14,8,"$808,992.23 ",5.40%,"$1,284,114.65 ","$57,528.34 ",1.32,180,149,26%,2007,1
Commercial Real Estate,ABC1000469,Multifamily residential,1/1/12,7,"$10,790,722.76 ",5.74%,"$16,601,111.94 ","$1,489,119.74 ",2.4,60,3,4%,2008,0
Commercial Real Estate,ABC1000470,Multifamily residential,1/1/13,5,"$2,188,251.31 ",5.05%,"$3,366,540.47 ","$360,556.48 ",3.26,60,5,9%,2007,0
Commercial Real Estate,ABC1000471,Retail space,1/1/18,10,"$4,877,481.78 ",4.77%,"$6,967,831.12 ","$113,575.65 ",0.49,60,4,5%,2008,0
Commercial Real Estate,ABC1000472,Office building,1/1/13,6,"$33,541,652.88 ",4.52%,"$57,830,436.01 ","$3,394,646.59 ",2.24,120,22,7%,2006,0
Commercial Real Estate,ABC1000473,Retail space,1/1/16,4,"$1,559,635.70 ",4.49%,"$2,999,299.42 ","$184,756.84 ",2.64,120,3,3%,2004,0
Commercial Real Estate,ABC1000474,Multifamily residential,1/1/12,10,"$4,354,971.45 ",5.68%,"$5,655,807.08 ","$285,052.68 ",1.15,120,64,1%,2006,0
Commercial Real Estate,ABC1000475,Retail space,1/1/16,6,"$3,937,582.12 ",4.66%,"$6,250,130.34 ","$418,758.73 ",2.28,60,55,9%,2004,0
Commercial Real Estate,ABC1000476,Retail space,1/1/16,10,"$6,256,987.83 ",4.97%,"$8,342,650.44 ","$465,519.89 ",1.5,60,31,27%,1999,0
Commercial Real Estate,ABC1000477,Office building,1/1/17,7,"$2,649,366.00 ",4.07%,"$4,205,342.86 ","$228,350.12 ",2.12,60,19,6%,2001,0
Commercial Real Estate,ABC1000478,Multifamily residential,1/1/14,5,"$7,060,587.24 ",4.62%,"$11,967,097.02 ","$826,926.40 ",2.54,180,9,11%,2005,0
Commercial Real Estate,ABC1000479,Office building,1/1/15,7,"$14,988,676.70 ",5.12%,"$21,412,395.28 ","$2,089,849.78 ",2.72,60,41,1%,2002,0
Commercial Real Estate,ABC1000480,Multifamily residential,1/1/11,10,"$3,309,029.31 ",5.28%,"$4,727,184.73 ","$164,506.03 ",0.94,120,37,10%,2005,0
Commercial Real Estate,ABC1000481,Multifamily residential,1/1/11,8,"$795,861.47 ",4.33%,"$1,075,488.48 ","$74,961.55 ",2.18,60,24,6%,1998,1
Commercial Real Estate,ABC1000482,Retail space,1/1/12,7,"$10,676,973.66 ",5.83%,"$15,935,781.59 ","$1,249,365.28 ",2.01,180,136,4%,2000,0
Commercial Real Estate,ABC1000483,Multifamily residential,1/1/18,10,"$2,307,372.42 ",5.45%,"$2,958,169.76 ","$172,757.11 ",1.37,60,2,7%,2002,0
Commercial Real Estate,ABC1000484,Retail space,1/1/16,6,"$24,284,409.62 ",4.63%,"$35,194,796.55 ","$3,220,323.88 ",2.86,60,30,12%,2005,0
Commercial Real Estate,ABC1000485,Multifamily residential,1/1/13,11,"$9,392,299.56 ",4.86%,"$13,417,570.80 ","$97,948.27 ",0.21,120,112,6%,2005,1
Commercial Real Estate,ABC1000486,Multifamily residential,1/1/13,7,"$11,292,760.52 ",4.45%,"$17,110,243.22 ","$1,139,542.20 ",2.27,60,41,11%,2001,0
Commercial Real Estate,ABC1000487,Office building,1/1/16,10,"$41,062,123.29 ",4.61%,"$50,693,979.37 ","$3,660,105.31 ",1.93,120,29,14%,2009,1
Commercial Real Estate,ABC1000488,Multifamily residential,1/1/13,5,"$5,759,067.90 ",4.48%,"$9,598,446.50 ","$784,193.08 ",3.04,120,115,9%,2009,0
Commercial Real Estate,ABC1000489,Retail space,1/1/12,10,"$2,730,620.59 ",5.02%,"$3,592,921.83 ","$199,766.45 ",1.46,60,15,11%,1997,1
Commercial Real Estate,ABC1000490,Retail space,1/1/15,12,"$12,526,540.24 ",5.35%,"$16,059,666.97 ","$330,829.14 ",0.49,120,22,2%,1995,0
Commercial Real Estate,ABC1000491,Office building,1/1/12,5,"$5,165,146.09 ",4.08%,"$7,825,978.93 ","$725,468.25 ",3.44,120,45,13%,2004,0
Commercial Real Estate,ABC1000492,Retail space,1/1/14,9,"$12,656,971.77 ",4.27%,"$15,625,891.07 ","$1,137,564.87 ",2.1,60,39,7%,1996,0
Commercial Real Estate,ABC1000493,Retail space,1/1/16,6,"$1,407,417.26 ",4.20%,"$2,132,450.39 ","$156,308.61 ",2.64,120,63,15%,2003,0
Commercial Real Estate,ABC1000494,Retail space,1/1/17,4,"$40,555,597.68 ",4.60%,"$77,991,534.01 ","$5,942,954.89 ",3.19,60,15,11%,2008,0
Commercial Real Estate,ABC1000495,Retail space,1/1/15,7,"$4,371,105.35 ",5.37%,"$7,668,605.88 ","$354,289.59 ",1.51,60,31,1%,1998,0
Commercial Real Estate,ABC1000496,Retail space,1/1/12,9,"$5,218,818.03 ",4.63%,"$7,563,504.38 ","$325,230.69 ",1.35,120,97,2%,1997,0
Commercial Real Estate,ABC1000497,Retail space,1/1/13,6,"$10,622,164.17 ",4.90%,"$14,753,005.79 ","$1,774,786.60 ",3.41,60,57,10%,2009,0
Commercial Real Estate,ABC1000498,Retail space,1/1/18,5,"$1,043,777.45 ",5.36%,"$1,711,110.58 ","$170,084.39 ",3.04,120,78,15%,2005,0
Commercial Real Estate,ABC1000499,Multifamily residential,1/1/18,10,"$3,942,683.32 ",4.39%,"$5,256,911.09 ","$157,707.33 ",0.91,120,2,38%,1996,0
Commercial Real Estate,ABC1000500,Office building,1/1/13,9,"$7,762,220.82 ",5.04%,"$9,825,595.97 ","$774,256.96 ",1.98,60,59,3%,2002,1
Commercial Real Estate,ABC1000501,Multifamily residential,1/1/14,7,"$18,738,993.33 ",5.10%,"$30,224,182.80 ","$1,852,742.41 ",1.94,120,7,6%,1999,1
Commercial Real Estate,ABC1000502,Multifamily residential,1/1/19,4,"$4,869,804.07 ",4.68%,"$8,854,189.21 ","$638,387.04 ",2.8,120,12,27%,2004,0
Commercial Real Estate,ABC1000503,Office building,1/1/14,9,"$1,430,265.56 ",5.98%,"$1,986,479.94 ","$113,030.71 ",1.32,120,5,11%,1998,0
Commercial Real Estate,ABC1000504,Office building,1/1/18,9,"$4,743,982.10 ",5.53%,"$6,976,444.26 ","$359,984.52 ",1.37,60,12,13%,1997,0
Commercial Real Estate,ABC1000505,Retail space,1/1/16,9,"$12,220,972.55 ",4.61%,"$17,711,554.43 ","$756,283.37 ",1.34,120,34,7%,2001,0
Commercial Real Estate,ABC1000506,Multifamily residential,1/1/18,7,"$1,674,245.35 ",4.91%,"$2,790,408.92 ","$146,775.51 ",1.79,60,55,6%,1996,0
Commercial Real Estate,ABC1000507,Multifamily residential,1/1/16,5,"$1,869,794.20 ",5.02%,"$3,280,340.70 ","$220,110.86 ",2.35,120,63,34%,2005,0
Commercial Real Estate,ABC1000508,Retail space,1/1/14,8,"$3,526,708.06 ",5.74%,"$5,877,846.77 ","$256,861.90 ",1.27,120,25,8%,1997,0
Commercial Real Estate,ABC1000509,Multifamily residential,1/1/12,10,"$5,061,070.18 ",4.41%,"$6,572,818.42 ","$356,904.04 ",1.6,120,55,13%,2009,0
Commercial Real Estate,ABC1000510,Retail space,1/1/15,9,"$7,716,285.84 ",5.47%,"$10,021,150.44 ","$715,510.14 ",1.7,60,5,9%,2007,0
Commercial Real Estate,ABC1000511,Multifamily residential,1/1/11,7,"$1,521,713.51 ",5.05%,"$2,143,258.47 ","$183,891.58 ",2.39,180,13,13%,2002,0
Commercial Real Estate,ABC1000512,Multifamily residential,1/1/16,9,"$2,954,885.81 ",5.37%,"$4,161,811.00 ","$239,720.31 ",1.51,60,12,39%,2005,0
Commercial Real Estate,ABC1000513,Retail space,1/1/14,7,"$2,179,535.42 ",4.28%,"$3,353,131.41 ","$181,404.41 ",1.94,120,9,32%,2000,0
Commercial Real Estate,ABC1000514,Office building,1/1/12,9,"$11,584,972.00 ",4.57%,"$16,090,238.89 ","$912,316.55 ",1.72,180,35,9%,1998,0
Commercial Real Estate,ABC1000515,Retail space,1/1/14,10,"$2,683,052.10 ",4.65%,"$3,353,815.13 ","$216,321.08 ",1.73,120,58,28%,2002,0
Commercial Real Estate,ABC1000516,Retail space,1/1/14,8,"$2,873,393.82 ",5.62%,"$4,047,033.56 ","$358,162.47 ",2.22,60,58,1%,2004,0
Commercial Real Estate,ABC1000517,Retail space,1/1/16,11,"$4,615,019.37 ",4.46%,"$5,185,415.02 ","$307,495.11 ",1.49,120,85,8%,1999,1
Commercial Real Estate,ABC1000518,Office building,1/1/18,7,"$6,977,362.54 ",5.01%,"$10,734,403.91 ","$708,470.66 ",2.03,120,66,14%,2001,0
Commercial Real Estate,ABC1000519,Retail space,1/1/16,8,"$6,013,435.87 ",5.39%,"$9,858,091.59 ","$476,145.82 ",1.47,120,81,9%,1996,0
Commercial Real Estate,ABC1000520,Multifamily residential,1/1/14,9,"$1,621,400.70 ",4.24%,"$2,221,096.85 ","$95,729.27 ",1.39,60,7,34%,2001,0
Commercial Real Estate,ABC1000521,Office building,1/1/13,8,"$3,371,751.35 ",5.27%,"$4,682,987.98 ","$343,731.32 ",1.93,120,86,6%,1996,0
Commercial Real Estate,ABC1000522,Multifamily residential,1/1/17,6,"$3,619,287.00 ",5.19%,"$5,837,559.68 ","$443,654.54 ",2.36,120,110,7%,2005,0
Commercial Real Estate,ABC1000523,Retail space,1/1/13,8,"$3,304,780.88 ",5.77%,"$5,007,243.76 ","$264,382.47 ",1.39,60,6,2%,2009,0
Commercial Real Estate,ABC1000524,Office building,1/1/16,6,"$974,066.72 ",5.93%,"$1,650,960.54 ","$126,133.39 ",2.18,120,105,8%,1997,0
Commercial Real Estate,ABC1000525,Office building,1/1/17,8,"$2,391,737.35 ",4.70%,"$3,232,077.50 ","$237,557.70 ",2.11,120,1,7%,1995,0
Commercial Real Estate,ABC1000526,Office building,1/1/15,8,"$1,021,027.47 ",4.50%,"$1,479,749.95 ","$89,672.85 ",1.95,120,112,36%,2006,0
Commercial Real Estate,ABC1000527,Retail space,1/1/14,7,"$688,200.49 ",4.84%,"$1,075,313.26 ","$60,970.26 ",1.83,120,40,3%,2004,0
Commercial Real Estate,ABC1000528,Office building,1/1/15,8,"$669,013.99 ",4.12%,"$904,072.96 ","$57,589.45 ",2.09,120,58,3%,1995,0
Commercial Real Estate,ABC1000529,Multifamily residential,1/1/14,8,"$2,614,227.80 ",5.14%,"$3,734,611.15 ","$259,928.94 ",1.93,120,39,12%,2000,0
Commercial Real Estate,ABC1000530,Office building,1/1/16,9,"$1,412,259.08 ",4.08%,"$2,046,752.29 ","$86,986.97 ",1.51,120,120,39%,2007,1
Commercial Real Estate,ABC1000531,Multifamily residential,1/1/18,8,"$9,030,570.73 ",5.48%,"$14,565,436.65 ","$763,228.88 ",1.54,120,42,10%,2009,0
Commercial Real Estate,ABC1000532,Multifamily residential,1/1/15,10,"$2,636,978.53 ",5.25%,"$3,337,947.51 ","$221,305.92 ",1.6,180,29,7%,2000,0
Commercial Real Estate,ABC1000533,Retail space,1/1/11,6,"$454,625.10 ",4.52%,"$770,551.02 ","$40,376.87 ",1.96,120,44,29%,1995,0
Commercial Real Estate,ABC1000534,Retail space,1/1/18,8,"$5,868,658.62 ",4.40%,"$7,824,878.16 ","$676,069.47 ",2.62,120,88,5%,2006,0
Commercial Real Estate,ABC1000535,Multifamily residential,1/1/16,8,"$599,458.83 ",5.55%,"$894,714.68 ","$62,361.61 ",1.87,60,55,9%,1995,1
Commercial Real Estate,ABC1000536,Retail space,1/1/14,4,"$5,355,116.49 ",5.57%,"$9,562,708.02 ","$895,069.47 ",3,60,25,4%,2000,0
Commercial Real Estate,ABC1000537,Retail space,1/1/19,8,"$1,843,243.77 ",5.46%,"$2,972,973.83 ","$151,027.07 ",1.5,120,62,9%,2005,0
Commercial Real Estate,ABC1000538,Office building,1/1/12,6,"$5,439,940.75 ",5.64%,"$10,264,039.15 ","$554,258.11 ",1.81,60,34,8%,2007,0
Commercial Real Estate,ABC1000539,Multifamily residential,1/1/18,6,"$658,130.13 ",5.26%,"$1,096,883.54 ","$72,394.31 ",2.09,60,22,40%,1999,0
Commercial Real Estate,ABC1000540,Multifamily residential,1/1/13,9,"$13,111,423.69 ",4.23%,"$16,389,279.61 ","$1,111,193.16 ",2,120,4,3%,2005,0
Commercial Real Estate,ABC1000541,Retail space,1/1/15,7,"$1,925,297.52 ",4.44%,"$2,873,578.38 ","$183,621.66 ",2.15,60,59,1%,1997,0
Commercial Real Estate,ABC1000542,Office building,1/1/12,10,"$14,704,478.15 ",4.83%,"$19,605,970.87 ","$1,062,643.62 ",1.5,120,73,5%,2001,1
Commercial Real Estate,ABC1000543,Office building,1/1/15,4,"$2,291,714.12 ",5.54%,"$4,020,551.08 ","$415,724.98 ",3.27,60,7,4%,1999,0
Commercial Real Estate,ABC1000544,Office building,1/1/17,10,"$10,031,007.70 ",5.45%,"$13,741,106.43 ","$702,170.54 ",1.28,120,88,14%,1998,1
Commercial Real Estate,ABC1000545,Retail space,1/1/17,10,"$6,552,404.09 ",5.69%,"$8,190,505.11 ","$602,821.18 ",1.62,180,131,7%,1997,1
Commercial Real Estate,ABC1000546,Retail space,1/1/11,4,"$3,200,690.82 ",5.98%,"$5,615,247.05 ","$600,831.43 ",3.14,60,5,12%,2002,0
Commercial Real Estate,ABC1000547,Retail space,1/1/12,7,"$24,253,439.43 ",5.91%,"$35,666,822.70 ","$3,295,614.42 ",2.3,120,47,13%,1997,0
Commercial Real Estate,ABC1000548,Office building,1/1/15,8,"$4,357,996.05 ",4.60%,"$7,029,025.88 ","$309,277.14 ",1.54,60,4,6%,2007,1
Commercial Real Estate,ABC1000549,Office building,1/1/11,9,"$8,631,024.18 ",5.44%,"$11,987,533.59 ","$775,593.42 ",1.65,120,42,5%,2000,0
Commercial Real Estate,ABC1000550,Multifamily residential,1/1/18,7,"$580,603.52 ",4.37%,"$879,702.30 ","$60,963.37 ",2.4,120,94,4%,2006,0
Commercial Real Estate,ABC1000551,Multifamily residential,1/1/19,7,"$712,138.83 ",5.19%,"$1,148,611.01 ","$75,119.16 ",2.03,120,86,5%,2005,0
Commercial Real Estate,ABC1000552,Retail space,1/1/18,7,"$4,173,252.72 ",5.92%,"$6,624,210.67 ","$480,255.27 ",1.94,180,142,40%,2000,0
Commercial Real Estate,ABC1000553,Multifamily residential,1/1/19,7,"$1,328,107.80 ",5.42%,"$2,075,168.43 ","$164,353.34 ",2.28,60,42,2%,2007,0
Commercial Real Estate,ABC1000554,Multifamily residential,1/1/15,9,"$1,293,916.31 ",4.12%,"$1,848,451.87 ","$84,104.56 ",1.58,120,40,15%,2005,0
Commercial Real Estate,ABC1000555,Retail space,1/1/16,9,"$2,915,546.67 ",4.77%,"$3,690,565.40 ","$290,816.55 ",2.09,120,90,8%,1999,0
Commercial Real Estate,ABC1000556,Office building,1/1/12,6,"$631,368.72 ",5.59%,"$1,127,444.15 ","$75,313.27 ",2.13,60,12,11%,1997,0
Commercial Real Estate,ABC1000557,Office building,1/1/12,8,"$3,990,761.80 ",5.50%,"$5,542,724.72 ","$486,096.96 ",2.21,120,28,4%,2007,0
Commercial Real Estate,ABC1000558,Multifamily residential,1/1/14,8,"$1,779,514.79 ",5.90%,"$2,616,933.52 ","$167,222.05 ",1.59,60,13,37%,2004,0
Commercial Real Estate,ABC1000559,Office building,1/1/18,7,"$2,481,924.07 ",4.17%,"$4,003,103.33 ","$212,965.10 ",2.06,120,44,6%,1998,0
Commercial Real Estate,ABC1000560,Office building,1/1/12,8,"$2,288,343.51 ",5.58%,"$3,365,211.05 ","$254,073.43 ",1.99,120,18,1%,2005,0
Commercial Real Estate,ABC1000561,Retail space,1/1/15,5,"$1,068,010.43 ",4.12%,"$1,750,836.77 ","$118,531.65 ",2.69,60,28,3%,2001,0
Commercial Real Estate,ABC1000562,Office building,1/1/16,10,"$16,274,986.78 ",4.84%,"$21,414,456.29 ","$1,205,633.89 ",1.53,180,95,9%,1997,0
Commercial Real Estate,ABC1000563,Multifamily residential,1/1/11,8,"$1,075,174.82 ",5.51%,"$1,514,330.73 ","$116,452.03 ",1.97,120,62,11%,2005,0
Commercial Real Estate,ABC1000564,Multifamily residential,1/1/16,9,"$21,295,139.57 ",5.40%,"$27,301,460.98 ","$2,173,196.29 ",1.89,120,74,37%,1997,1
Commercial Real Estate,ABC1000565,Retail space,1/1/16,9,"$8,303,929.31 ",4.24%,"$10,511,302.92 ","$706,359.56 ",2.01,120,38,12%,2005,0
Commercial Real Estate,ABC1000566,Office building,1/1/11,8,"$3,775,464.33 ",4.30%,"$6,189,285.78 ","$189,392.14 ",1.17,60,48,3%,2006,0
Commercial Real Estate,ABC1000567,Retail space,1/1/18,8,"$12,541,174.30 ",4.24%,"$16,721,565.74 ","$1,152,115.88 ",2.17,120,79,10%,2004,0
Commercial Real Estate,ABC1000568,Retail space,1/1/12,11,"$5,039,775.21 ",5.16%,"$6,461,250.27 ","$282,356.64 ",1.09,60,28,8%,1999,0
Commercial Real Estate,ABC1000569,Retail space,1/1/18,7,"$670,037.26 ",4.14%,"$985,348.92 ","$65,230.10 ",2.35,120,70,11%,1995,0
Commercial Real Estate,ABC1000570,Retail space,1/1/11,12,"$1,705,222.43 ",6.00%,"$2,079,539.55 ","$89,004.29 ",0.87,120,51,36%,2004,0
Commercial Real Estate,ABC1000571,Office building,1/1/16,6,"$1,449,412.86 ",4.41%,"$2,264,707.60 ","$184,347.20 ",2.88,120,69,4%,1996,0
